Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,month,weekofyear,year,week_sin,week_cos,is_black_friday,is_christmas,is_easter,is_summer_sale,Facebook_Impressions_adstock,Facebook_Impressions_lag_1,Google_Impressions_adstock,Google_Impressions_lag_1,Email_Impressions_adstock,Email_Impressions_lag_1,Affiliate_Impressions_adstock,Affiliate_Impressions_lag_1,Paid_Views_adstock,Paid_Views_lag_1
G,2018-01-20,474,148,535,1029477.291,86287,65474,806,122845,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,156114.5458188042,73760.0,1229.2738380148564,768.0,1737800.0741030448,793897.4898,106667.60312138883,50431.0,1074.871417167417,673.0
P,2018-01-20,297,687,748,716229.0048,45615,40734,887,91509,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,123672.2729094021,86287.0,1362.6369190074283,535.0,1585129.0418515224,1029477.291,94067.80156069441,65474.0,834.4357085837084,474.0
P,2018-01-27,332,251,248,697108.5658,79537,27488,427,81009,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,141373.13645470105,45615.0,929.3184595037142,748.0,1489673.0867257612,716229.0048,74521.9007803472,40734.0,749.2178542918542,297.0
Y,2018-01-27,729,541,400,334405.0406,46261,13963,574,50479,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,116947.56822735052,79537.0,864.6592297518571,248.0,1079241.5839628805,697108.5658,51223.9503901736,27488.0,1103.608927145927,332.0
X,2018-01-27,704,693,597,451509.843,56333,11964,211,58607,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,114806.78411367527,46261.0,1029.3296148759287,400.0,991130.6349814403,334405.0406,37575.9751950868,13963.0,1255.8044635729634,729.0
Z,2018-01-27,410,698,780,611535.9823,85635,23809,792,77247,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,143038.39205683762,56333.0,1294.6648074379643,597.0,1107101.2997907202,451509.843,42596.9875975434,11964.0,1037.9022317864817,704.0
I,2018-01-27,70,350,633,613396.6231,72299,28378,711,71793,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,143818.1960284188,85635.0,1280.3324037189823,780.0,1166947.2729953602,611535.9823,49676.4937987717,23809.0,588.9511158932409,410.0
T,2018-01-27,627,697,559,157699.1318,32097,4098,475,24580,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,104006.0980142094,72299.0,1199.1662018594911,633.0,741172.7682976801,613396.6231,28936.24689938585,28378.0,921.4755579466205,70.0
J,2018-01-27,459,899,325,455933.5807,52169,17252,881,53287,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,104172.04900710471,32097.0,924.5831009297456,559.0,826519.96484884,157699.1318,31720.123449692925,4098.0,919.7377789733102,627.0
B,2018-01-27,108,850,631,3066068.937,777349,71675,988,594620,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,829435.0245035524,52169.0,1093.2915504648727,325.0,3479328.9194244198,455933.5807,87535.06172484646,17252.0,567.8688894866551,459.0
S,2018-01-27,990,921,97,1061981.232,163104,55353,2,136745,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,577821.5122517762,777349.0,643.6457752324363,631.0,2801645.69171221,3066068.937,99120.53086242323,71675.0,1273.9344447433275,108.0
A,2018-01-27,25,575,65,417745.6658,78640,10207,942,72047,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,367550.7561258881,163104.0,386.82288761621817,97.0,1818568.511656105,1061981.232,59767.265431211614,55353.0,661.9672223716638,990.0
O,2018-01-27,841,972,985,1720272.337,236205,53148,613,240968,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,419980.37806294404,78640.0,1178.4114438081092,65.0,2629556.5928280526,417745.6658,83031.63271560581,10207.0,1171.983611185832,25.0
H,2018-01-27,387,845,951,426611.6424,74066,15343,968,62022,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,284056.189031472,236205.0,1540.2057219040546,985.0,1741389.9388140263,1720272.337,56858.816357802905,53148.0,972.991805592916,841.0
V,2018-01-27,349,551,788,1374992.402,225285,54093,752,201010,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,367313.094515736,74066.0,1558.1028609520272,951.0,2245687.3714070134,426611.6424,82522.40817890145,15343.0,835.495902796458,387.0
E,2018-01-27,230,966,347,1627852.325,309171,77464,505,332864,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,492827.547257868,225285.0,1126.0514304760136,788.0,2750696.010703507,1374992.402,118725.20408945072,54093.0,647.747951398229,349.0
K,2018-01-27,262,46,651,647746.9399,93071,24139,87,89867,1,4,2018,0.4647231720437685,0.8854560256532099,0,0,0,0,339484.773628934,309171.0,1214.0257152380068,347.0,2023094.9452517536,1627852.325,83501.60204472535,77464.0,585.8739756991145,230.0
